date,median_cases,min_cases,max_cases,median_deaths,min_deaths,max_deaths
2020-07-11,364238.857142857,364238.857142857,364238.857142857,17582.2857142857,17582.2857142857,17582.2857142857
2020-07-12,372520.155534511,372510.852797627,373221.781408053,17892.0182915106,17873.7987281444,17936.2658025427
2020-07-13,380754.83830829,380637.999408045,382108.08400422,18192.0290242333,18162.4974192537,18253.2500368567
2020-07-14,388967.864159413,388627.024879633,390961.013011922,18483.12123587,18448.3644660491,18539.3380071296
2020-07-15,397143.755646622,396508.202797541,399769.465877445,18758.7801279606,18731.4106086325,18799.6358276299
2020-07-16,405272.945108077,404295.127809216,408538.172275018,19019.9959089253,18986.8567826275,19048.908616807
2020-07-17,413348.192229543,348996.431558301,433886.169121632,19274.8006093532,17069.8597469242,20059.0354772365
2020-07-18,421362.316244614,355452.96878652,442931.203975549,19517.3940731901,17241.3401775756,20333.0006392914
2020-07-19,429309.829620385,361845.760067611,451943.483975018,19754.835624549,17401.6510047441,20613.5348727172
2020-07-20,437242.184520042,368177.469182247,460925.078007424,19981.7584190725,17552.6313649562,20896.6606343708
2020-07-21,445209.767177581,374449.960171552,469877.316975098,20194.3357722044,17695.7317625155,21177.2854649818
2020-07-22,453157.065220971,380664.619634289,478801.070708762,20406.0587237903,17832.0917303531,21455.4594787439
2020-07-23,461085.840368944,386823.082412639,487698.112990341,20618.0322023795,17962.6027225272,21731.2462122148
2020-07-24,468959.030420062,392926.812927285,496569.841773394,20825.243294566,18087.9607946664,22004.7225652425
2020-07-25,476843.938938992,398977.144892096,505417.105490004,21028.1065045523,18208.707127787,22275.9778990441
2020-07-26,484626.346267646,404975.138657642,514239.718989705,21226.9974070992,18325.2606736698,22545.1129785127
2020-07-27,492422.286552294,410739.969363303,523036.633139587,21422.2567269427,18437.9441084573,22812.2383504554
2020-07-28,500223.689445877,416053.572745512,531805.579603948,21614.1938055426,18547.0051281775,23077.4723906733
2020-07-29,507999.075837223,421207.836446125,540543.692982369,21803.0882915221,18652.6329460196,23340.9385383513
2020-07-30,515747.036746027,426201.137409399,549468.454276382,21989.1915926424,18754.9719124087,23602.7627568626
2020-07-31,523466.115776454,431032.647570182,558414.906766181,22172.7301485657,18854.1339584325,23863.0726285193
2020-08-01,531021.652767331,435702.297160225,567381.088499429,22353.907278685,18950.2072078409,24121.9965403831
2020-08-02,538514.846371827,440210.646324471,576369.093052028,22532.9055581393,19043.2628199411,24379.6634715235
2020-08-03,545832.723998494,444558.881938773,585380.95533495,22709.8890488825,19133.3600709445,24636.2027237812
2020-08-04,553096.444845551,448748.614941792,594417.13615573,22885.0057012103,19220.5504915959,24891.743695245
2020-08-05,560327.373715702,452781.889248574,603477.058430317,23058.3885731127,19304.8805084989,25146.4150795797
2020-08-06,567802.95107592,456661.394901267,612562.0435369,23230.1570462706,19386.3936540845,25400.3441147856
2020-08-07,575170.742936208,460390.176705794,621672.979779203,23400.4195307718,19465.1332586394,25653.6567194344
2020-08-08,582647.170781336,463971.584800823,630810.432546957,23569.2743312477,19541.1435654132,25906.4768541277
2020-08-09,590045.845450668,467409.169467164,639974.05244172,23736.8103744787,19614.4705058323,26158.9258883918
2020-08-10,597401.765718409,470706.672893392,649163.051182326,23903.1074450948,19685.1619819714,26411.1217729638
2020-08-11,604749.571945132,473867.891947035,658374.875407817,24068.2366349113,19753.2681081022,26663.1783674975
2020-08-12,612054.256786126,476896.69667624,667605.911169877,24232.2600110691,19818.8409308736,26915.2043747224
2020-08-13,619313.321820258,479797.187073789,676854.368457216,24395.2307039559,19881.9342891275,27167.3024956932
2020-08-14,626594.396111559,482573.512794619,686118.131904946,24557.1947125355,19942.6043471584,27419.5695749487
2020-08-15,634101.743075398,485229.856345277,695394.915722754,24718.1913133875,20000.9093484968,27672.0961032237
2020-08-16,641589.807130455,487770.376713894,704681.710188855,24878.2535458632,20056.9093724341,27924.9658092705
2020-08-17,648771.2892736,490199.218044052,713975.248916325,25037.4083575353,20110.6659386747,28178.2551189086
2020-08-18,655897.649040605,492520.428520224,723270.734892146,25195.6770018869,20162.2417323799,28432.0328132847
2020-08-19,662418.019909843,494737.984999249,732966.42052122,25353.074714361,20211.700089131,28686.3593334545
2020-08-20,669177.445923436,496855.905673541,742846.980830563,25509.6107735297,20259.1046680873,28941.2863443006
2020-08-21,675677.329574315,498878.137362639,752775.356727837,25665.2900877938,20304.519640679,29196.8572807395
2020-08-22,682097.240676303,500808.55123117,762748.048356876,25820.1134807146,20348.0094095823,29453.1072913767
2020-08-23,688945.473137751,502650.910847502,772761.196132759,25974.0780363659,20389.6383699644,29710.0632893094
2020-08-24,695379.166644638,504408.884576395,782810.667553831,26124.7260871505,20429.470597666,29967.7438859408
2020-08-25,701997.477283066,506085.996846288,792891.93929201,26271.2052251735,20467.5696450293,30226.1595338787
2020-08-26,708200.00749753,507685.651843893,803000.212312609,26416.7881383532,20503.998194958,30485.3123330306
2020-08-27,714213.671611226,509211.213951162,813130.782882516,26561.4763850236,20538.8178614873,30745.196106387
2020-08-28,720131.309973637,510665.9382346,823278.860314519,26705.2688548809,20572.0893456651,31005.7974194972
2020-08-29,725952.362089936,512052.972923155,833439.623263451,26848.1619593861,20603.8722885303,31267.0960059037
2020-08-30,731676.300976825,513375.342541289,843608.189743908,26990.1499924848,20634.2251600176,31529.0652749633
2020-08-31,737302.749268626,514635.961101356,853779.700661886,27131.2248440809,20663.2051023541,31791.6726690439
2020-09-01,742831.113425544,515837.603376246,863949.198036102,27271.3762757231,20690.8678500503,32054.8801791855
2020-09-02,748260.77259757,516982.925533432,874111.725699972,27410.5908196898,20717.2675560547,32318.644481221
2020-09-03,753591.785168867,518074.52225086,884262.663967814,27548.851611799,20742.4567192439,32582.9172800127
2020-09-04,758824.348079925,519114.883683143,894397.532923018,27686.141115339,20766.4863477235,32847.6464917833
2020-09-05,763958.821145702,520106.400239066,904512.021109616,27822.44133097,20789.405919365,33112.7767929216
2020-09-06,768995.56869965,521051.353729034,914601.929138283,27957.734148264,20811.2633649269,33378.2501846276
2020-09-07,773935.057056991,521951.928896185,924663.222051431,28092.0010804944,20832.1050173224,33644.0063501256
2020-09-08,778777.543827302,522810.196071901,934691.886748945,28225.2234949702,20851.9756104044,33909.9831086376
2020-09-09,783523.242656778,523628.127571198,944684.004153619,28357.3815672545,20870.9182114431,34176.1164574478
2020-09-10,788172.914022791,524407.637659887,954636.04040117,28488.4540915335,20888.9742203023,34442.3407749594
2020-09-11,792884.34146804,525150.555366719,964544.640453079,28618.4208658826,20906.1835227449,34708.5897834014
2020-09-12,797709.067148154,525858.629238914,974406.636773425,28737.6018068941,20922.584505542,34974.7968840816
2020-09-13,802451.209429543,526533.52250648,984218.979986262,28843.3675649577,20938.2140841008,35240.8954888769
2020-09-14,807111.294896331,527176.822162915,993978.775595107,28947.4724829647,20953.1077038083,35506.8191415248
2020-09-15,811689.356510782,527790.028100008,1003683.140723,29049.9288105605,20967.2993724316,35772.5017266109
2020-09-16,816185.259941817,528374.565451704,1013329.26619956,29150.7486159964,20980.8216448731,36037.8772909003
2020-09-17,820599.793498364,528931.812297172,1022914.68308917,29249.9435468341,20993.7056514121,36302.8800267992
2020-09-18,825394.135995912,529463.082105254,1032437.06769865,29347.5263244213,21005.9812266849,36567.4449809964
2020-09-19,830342.38843725,529969.627684913,1041894.2485867,29443.5106923687,21017.6769439584,36831.508186663
2020-09-20,835225.596644266,530452.638391927,1051284.14138208,29537.9114567999,21028.8201560053,37095.0068077435
2020-09-21,840043.791092072,530913.246913819,1060604.78368462,29630.7441361526,21039.4370158874,37357.8791007228
2020-09-22,844796.520093044,531352.52221947,1069854.20352447,29732.6881592013,21049.5525172718,37620.0644758204
2020-09-23,849483.193850865,531771.478592132,1079030.47961864,29833.5047549757,21059.190500594,37881.5032115284
2020-09-24,854104.117000891,532171.094764351,1088131.9893063,29927.5430968672,21068.3736878148,38142.1363392133
2020-09-25,858659.650806272,532552.302355953,1097157.2296635,30019.8718128841,21077.1237834804,38401.9062192953
2020-09-26,863150.263874244,532915.988908441,1106104.82531907,30110.5069993129,21085.4615107711,38660.7565916328
2020-09-27,867431.652250622,533262.996170899,1114973.46869442,30199.4659276184,21093.40665098,38918.6326484307
2020-09-28,871148.374603246,533594.125032039,1123761.9526747,30286.7666381886,21100.978067985,39175.4809454377
2020-09-29,874792.661380725,533910.130799075,1132469.04997728,30372.4278590913,21108.1937452039,39431.2494138815
2020-09-30,878365.085805041,534211.729710573,1141093.56958726,30456.4681920839,21115.0707981961,39685.8870571945
2020-10-01,881866.728362042,534499.612156506,1149634.58441078,30538.90585394,21121.6255063426,39939.3438136503
2020-10-02,885298.695408821,534774.43492385,1158091.26657496,30619.7599114128,21127.8733885786,40191.5710655118
2020-10-03,888662.147530974,535036.823431728,1166462.89445075,30699.0501786976,21133.829234424,40442.5216637069
2020-10-04,891958.15837473,535287.370612918,1174748.79708274,30776.7972048454,21139.5071368015,40692.1499765836
2020-10-05,895117.485281538,535526.640445036,1182948.383512,30853.0219374362,21144.9205138417,40940.4117906949
2020-10-06,898020.174705955,535755.164699635,1191061.03216263,30927.7456618617,21150.0821388347,41187.2643065561
2020-10-07,900855.701725364,535973.447603996,1199086.14273748,31000.9893197238,21155.0041528727,41432.6658454251
2020-10-08,903625.321829029,536181.974998429,1207023.34376093,31072.773302618,21159.6980904327,41676.5757122477
2020-10-09,906330.29339227,536381.209047827,1214872.34173118,31143.1185031788,21164.1749345305,41918.9546560622
2020-10-10,908971.883826245,536571.589848546,1222632.92754647,31212.0462370952,21168.4451410572,42159.7648842437
2020-10-11,911551.33086499,536753.53465746,1230304.92546589,31279.5782414736,21172.5186640682,42398.9700998884
2020-10-12,914069.86469965,536927.440401216,1237888.21957511,31345.7363981752,21176.4049730857,42636.5354033042
2020-10-13,916528.635427205,537093.681384468,1245382.65330914,31410.5426899235,21180.11307584,42872.4272810227
2020-10-14,918928.752453595,537252.61261978,1252788.07718787,31474.0186313168,21183.6515287222,43106.613330628
2020-10-15,921271.419605895,537404.576198668,1260104.53730485,31536.1851048331,21187.0284561616,43339.0621303
2020-10-16,923557.8350346,537549.897630708,1267332.1383027,31597.0632536134,21190.2515900632,43569.7436562882
2020-10-17,925789.196765102,537688.88698331,1274471.04955492,31656.6744227728,21193.3282879268,43798.6292913891
2020-10-18,927966.670840455,537821.838327615,1281521.45889719,31715.0401652996,21196.2655514957,44025.6918548374
2020-10-19,930091.409983011,537949.031517685,1288483.59667296,31772.1820147337,21199.0700396594,44250.9055076823
2020-10-20,932164.493874262,538070.730544053,1295357.64515344,31830.9147010457,21201.7480850682,44474.2457378223
2020-10-21,934186.96237772,538187.18591605,1302143.78232757,31891.359831789,21204.3057020171,44695.6891045562
2020-10-22,936159.926927103,538298.639119724,1308842.35231144,31950.6475115558,21206.7486005837,44915.2131156992
2020-10-23,938084.488338824,538405.320050018,1315453.74169974,32008.7951684487,21209.0822145166,45132.7966038707
2020-10-24,939961.741760396,538507.447813858,1321978.38554903,32065.8205714365,21211.3117143119,45348.4197298427
2020-10-25,941792.75052468,538605.230320194,1328416.72575831,32121.7418520481,21213.4420206046,45562.0640052802
2020-10-26,943578.561835778,538698.865543174,1334769.23291651,32176.5771577791,21215.4778134417,45773.7122018382
2020-10-27,945320.157704849,538788.540321231,1341036.32507575,32230.3446186921,21217.4235441406,45983.3483322418
2020-10-28,947018.482821234,538874.432068268,1347218.40770373,32283.0616049566,21219.2834409291,46190.9574135716
2020-10-29,948674.536221291,538956.711913393,1353316.02703551,32334.7445463734,21221.0615190312,46396.5253509985
2020-10-30,950289.303922222,539035.542878459,1359329.75910051,32385.4101501829,21222.761600274,46600.0392737666
2020-10-31,951863.763277563,539111.080442452,1365260.21546048,32435.0753349049,21224.3873223487,46801.4875330763
2020-11-01,953398.861548274,539183.472232258,1371108.00597521,32483.7572535629,21225.9421482735,47000.8597174427
2020-11-02,954895.529044425,539252.858922555,1376873.75861705,32531.4730020783,21227.4293729085,47198.1465649238
2020-11-03,956354.638855935,539319.373348944,1382558.04694645,32578.2395943838,21228.8521313023,47393.3399402174
2020-11-04,957733.669005369,539383.141743769,1388161.42635606,32624.0733327354,21230.213402591,47586.4326156274
2020-11-05,959014.299502684,539444.285963038,1393684.57150115,32668.9896589143,21231.5160170991,47777.4181608608
2020-11-06,960261.913161559,539502.922179024,1399128.1771647,32713.0041929592,21232.7626700958,47966.2912406917
2020-11-07,961477.367583522,539559.161276869,1404492.96370083,32756.1326801903,21233.9559282819,48153.047607835
2020-11-08,962661.478330858,539613.108618319,1409779.64386795,32798.3910143713,21235.0982364156,48337.6841116293
2020-11-09,963815.043478007,539664.864685836,1414988.94075583,32839.7949919301,21236.1919218239,48520.1986136932
2020-11-10,964938.775723532,539714.524420859,1420121.52326981,32880.3602931851,21237.2392002324,48700.589961975
2020-11-11,966033.346670585,539762.178121999,1425178.03883263,32920.101948165,21238.2421783964,48878.8577891231
2020-11-12,967099.512142816,539807.913036098,1430159.23609687,32959.0342131073,21239.2028590651,49055.0024087513
2020-11-13,968138.013675616,539851.812411041,1435065.87672476,32997.171455293,21240.1231506384,49229.0250780604
2020-11-14,969149.585877536,539893.955774887,1439898.74049281,33034.5281101767,21241.0048716861,49400.9279870719
2020-11-15,970134.927164132,539934.418753812,1444658.59584434,33071.1187033381,21241.8497555638,49570.7142622127
2020-11-16,971082.267061762,539973.273535717,1449346.2160532,33106.9576428219,21242.6594535109,49738.3878864311
2020-11-17,971936.451431812,540010.588372126,1453962.322001,33142.0592046488,21243.4355387069,49903.9536717884
2020-11-18,972767.896089014,540046.428235545,1458507.61152639,33176.4370794152,21244.1795080146,50067.4170754046
2020-11-19,973577.222552476,540080.855964699,1462982.86863289,33210.1042690938,21244.8927854392,50228.7841030891
2020-11-20,974365.037758037,540113.931572033,1467388.88521671,33243.0738400666,21245.5767289273,50388.0615408104
2020-11-21,975131.9403962,540145.712440709,1471726.46579105,33275.3588880706,21246.2326335061,50545.2569419768
2020-11-22,975878.498018084,540176.253183523,1475996.40139733,33306.9725583326,21246.8617344961,50700.3786277396
2020-11-23,976605.263876305,540205.605978615,1480199.48411212,33337.9278697585,21247.4652096263,50853.435612721
2020-11-24,977312.733177085,540233.820191736,1484336.45640459,33368.2377035157,21248.0441818555,51004.4375777711
2020-11-25,978001.373712764,540260.942860849,1488408.03734173,33397.9144180426,21248.5997205079,51153.3947035593
2020-11-26,978671.705873669,540287.01952665,1492415.01948444,33426.9697623628,21249.1328436846,51300.3175823819
2020-11-27,979324.237360903,540312.093721985,1496358.19960132,33455.4155166402,21249.6445230688,51445.217422325
2020-11-28,979959.468478781,540336.207111379,1500238.38298313,33483.2634633226,21250.1356861086,51588.1060340785
2020-11-29,980577.87332352,540359.399381273,1504056.3603633,33510.5254052879,21250.6072182538,51728.9958295321
2020-11-30,981179.913685359,540381.708484695,1507812.92087346,33537.2130168216,21251.0599643968,51867.899753968
2020-12-01,981766.003129028,540403.170352906,1511508.80730104,33563.3378345197,21251.4947308374,52004.8312602639
2020-12-02,982336.532267934,540423.819255329,1515144.73938043,33588.9109303374,21251.9122860113,52139.8041598243
2020-12-03,982891.934270902,540443.68840632,1518721.49953888,33613.9428385383,21252.3133621742,52272.8325430201
2020-12-04,983432.631430018,540462.809585738,1522239.87167906,33638.4441005248,21252.6986588164,52403.9309595232
2020-12-05,983959.039573749,540481.213238193,1525700.64507681,33662.4252410309,21253.0688441836,52533.1144057533
2020-12-06,984471.552593872,540498.928387405,1529104.59399148,33685.8967843515,21253.4245568378,52660.3983229437
2020-12-07,984970.553928355,540515.982815684,1532452.48918663,33708.8691279671,21253.7664066383,52785.7985362542
2020-12-08,985456.387038699,540532.402842541,1535745.05846004,33731.3525352949,21254.0949761139,52909.3312312866
2020-12-09,985929.376275913,540548.213594004,1538983.00727093,33753.3568580284,21254.4108209224,53031.0128216775
2020-12-10,986389.880551558,540563.439449171,1542167.09445422,33774.8914744725,21254.7144710304,53150.8598782584
2020-12-11,986838.249569341,540578.103756163,1545298.07822148,33795.9657530431,21255.006433155,53268.8892886278
2020-12-12,987274.827500331,540592.228903048,1548376.71965832,33816.5890326437,21255.2871918268,53385.1182459702
2020-12-13,987699.940239955,540605.83625087,1551403.76473985,33833.7842349186,21255.5572104831,53499.5642474131
2020-12-14,988113.904898315,540618.946266169,1554379.95454447,33850.4681407453,21255.8169321361,53612.2450401816
2020-12-15,988517.005506502,540631.578350105,1557305.99048594,33866.762582843,21256.0667803351,53723.1786009549
2020-12-16,988909.510256987,540643.751041468,1560182.55253606,33882.6765040905,21256.3071594496,53832.3830191735
2020-12-17,989291.715513853,540655.482347651,1563010.36596789,33898.2184183569,21256.5384555008,53939.876434733
2020-12-18,989663.909923988,540666.789530551,1565790.15379585,33913.3967700266,21256.7610379182,54045.6771794773
2020-12-19,990026.377474686,540677.689157497,1568522.6399047,33928.2199248287,21256.9752602864,54149.8037678508
2020-12-20,990379.386984933,540688.197048767,1571208.53321519,33942.6961857948,21257.1814611136,54252.2748960907
2020-12-21,990723.199953968,540698.328376066,1573848.5367228,33956.8337134139,21257.379964288,54353.1093952954
2020-12-22,991058.050544901,540708.097530011,1576443.3169147,33970.6405225851,21257.571079755,54452.3262138886
2020-12-23,991384.159843169,540717.518274245,1578993.51984295,33984.1243017346,21257.7551036871,54549.944315521
2020-12-24,991701.771977677,540726.60399244,1581499.82988472,33997.2923690228,21257.9323190727,54645.98262491
2020-12-25,992011.124660239,540735.367525875,1583962.92791045,34010.1519756965,21258.1029969885,54740.4601535837
2020-12-26,992312.451727627,540743.821210189,1586383.49408168,34022.710298782,21258.2673971273,54833.3959926053
2020-12-27,992605.974463353,540751.976834177,1588762.19393573,34034.9744550302,21258.4257683408,54924.8093129161
2020-12-28,992891.908093054,540759.845713415,1591099.68637633,34046.9514338464,21258.5783489517,55014.7193249986
2020-12-29,993170.445270275,540767.438587044,1593396.59680566,34058.6480951161,21258.7253672331,55103.1452644986
